date,cases,deaths
2020-01-02,1,0
2020-01-23,1,0
2020-01-28,2,0
2020-01-29,2,0
2020-01-31,4,0
2020-02-01,1,0
2020-02-03,1,0
2020-02-04,4,0
2020-02-05,2,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-10,1,0
2020-02-11,2,0
2020-02-12,1,0
2020-02-15,1,0
2020-02-17,2,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,2,1
2020-02-24,1,0
2020-02-25,3,0
2020-02-26,8,0
2020-02-27,24,0
2020-02-28,45,0
2020-02-29,23,0
2020-03-01,35,0
2020-03-02,43,0
2020-03-03,84,0
2020-03-04,157,2
2020-03-05,186,1
2020-03-06,187,4
2020-03-07,142,4
2020-03-08,106,1
2020-03-09,347,7
2020-03-10,595,4
2020-03-11,757,10
2020-03-12,991,12
2020-03-13,1464,16
2020-03-14,1303,20
2020-03-15,980,15
2020-03-16,2036,35
2020-03-17,3033,44
2020-03-18,3598,63
2020-03-19,4057,65
2020-03-20,4055,96
2020-03-21,3356,95
2020-03-22,2266,80
2020-03-23,3732,130
2020-03-24,4877,167
2020-03-25,5682,218
2020-03-26,5900,267
2020-03-27,5981,264
2020-03-28,4720,247
2020-03-29,3078,166
2020-03-30,4129,267
2020-03-31,6061,384
2020-04-01,6262,376
2020-04-02,6548,420
2020-04-03,6187,398
2020-04-04,4341,246
2020-04-05,2536,182
2020-04-06,3664,291
2020-04-07,5188,338
2020-04-08,5279,343
2020-04-09,4913,325
2020-04-10,3352,208
2020-04-11,2880,201
2020-04-12,1868,170
2020-04-13,1600,165
2020-04-14,2468,219
2020-04-15,3326,233
2020-04-16,3420,192
2020-04-17,3049,174
2020-04-18,2106,125
2020-04-19,1377,119
2020-04-20,1712,150
2020-04-21,2185,141
2020-04-22,2488,125
2020-04-23,2095,117
2020-04-24,1903,84
2020-04-25,1272,80
2020-04-26,698,30
2020-04-27,1120,75
2020-04-28,1468,83
2020-04-29,1427,58
2020-04-30,1462,71
2020-05-01,919,48
2020-05-02,621,36
2020-05-03,423,16
2020-05-04,729,41
2020-05-05,1093,45
2020-05-06,1220,40
2020-05-07,1203,49
2020-05-08,979,45
2020-05-09,677,24
2020-05-10,341,14
2020-05-11,687,26
2020-05-12,856,33
2020-05-13,913,27
2020-05-14,807,20
2020-05-15,728,31
2020-05-16,462,20
2020-05-17,316,8
2020-05-18,543,23
2020-05-19,730,26
2020-05-20,832,23
2020-05-21,419,7
2020-05-22,526,16
2020-05-23,337,11
2020-05-24,219,5
2020-05-25,411,13
2020-05-26,618,15
2020-05-27,653,12
2020-05-28,529,10
2020-05-29,445,8
2020-05-30,374,4
2020-05-31,178,3
2020-06-01,136,5
2020-06-02,307,8
2020-06-03,497,10
2020-06-04,528,7
2020-06-05,437,5
2020-06-06,285,5
2020-06-07,164,4
2020-06-08,296,3
2020-06-09,426,1
2020-06-10,518,10
2020-06-11,281,1
2020-06-12,353,12
2020-06-13,299,1
2020-06-14,172,6
2020-06-15,261,4
2020-06-16,519,11
2020-06-17,867,7
2020-06-18,764,3
2020-06-19,991,9
2020-06-20,570,4
2020-06-21,223,3
2020-06-22,447,1
2020-06-23,540,4
2020-06-24,506,2
2020-06-25,571,5
2020-06-26,574,7
2020-06-27,326,2
2020-06-28,201,0
2020-06-29,414,4
2020-06-30,458,1
2020-07-01,482,5
2020-07-02,471,4
2020-07-03,427,6
2020-07-04,294,2
2020-07-05,144,4
2020-07-06,323,6
2020-07-07,396,4
2020-07-08,451,6
2020-07-09,424,5
2020-07-10,426,3
2020-07-11,277,0
2020-07-12,131,1
2020-07-13,330,5
2020-07-14,468,2
2020-07-15,542,6
2020-07-16,559,7
2020-07-17,523,7
2020-07-18,442,0
2020-07-19,179,4
2020-07-20,456,4
2020-07-21,526,4
2020-07-22,698,9
2020-07-23,692,3
2020-07-24,809,10
2020-07-25,543,3
2020-07-26,212,0
2020-07-27,529,7
2020-07-28,755,4
2020-07-29,913,6
2020-07-30,865,5
2020-07-31,914,13
2020-08-01,562,1
2020-08-02,305,1
2020-08-03,799,9
2020-08-04,951,6
2020-08-05,1112,3
2020-08-06,1170,7
2020-08-07,1005,5
2020-08-08,711,2
2020-08-09,321,2
2020-08-10,1105,2
2020-08-11,1192,2
2020-08-12,1541,10
2020-08-13,1495,2
2020-08-14,1372,6
2020-08-15,758,4
2020-08-16,492,5
2020-08-17,1547,8
2020-08-18,1533,10
2020-08-19,1754,1
